"Metric","Score","Dataset"
"r",0.742615205375032,"LOESS_2022_SVREC_9_fly"
"R2",0.551477343254201,"LOESS_2022_SVREC_9_fly"
"MAE",4.55752212389381,"LOESS_2022_SVREC_9_fly"
"MSE",23.8141592920354,"LOESS_2022_SVREC_9_fly"
"r",0.676678693966247,"SEG_2022_SVREC_9_fly"
"R2",0.457894054867865,"SEG_2022_SVREC_9_fly"
"MAE",4.46017699115044,"SEG_2022_SVREC_9_fly"
"MSE",24.7433628318584,"SEG_2022_SVREC_9_fly"
