Global_ID,MTR_ADJ,MTR,GDD,ENTRY,Rep,block,Location,Check,Plot,End Plot,Expt,Pedigree,Name,Rng,Pas,Year,PLOTWT,MOIST,SDWT,FLWR,HT,LDG,DS,CBB,P_FT,CWT_A,ADJ_SDWT
20031001,50,94,21.96385542,76,1,1,SVREC,0,1001,FALSE,2003,B16504/N14218,N20391,1,82,2020,1258.7,15.83,17.5,53,50,2,5,2,16,23.28714868,17.96310976
20041001,50,94,21.96385542,82,1,1,SVREC,0,1001,FALSE,2004,B16504/I17560,B20588,1,92,2020,1645.3,15.19,18,47,56,3,4,4,16,30.67106932,18.61682927
20031002,48,92,22.24074074,52,1,1,SVREC,0,1002,FALSE,2003,N17504/N16405,N20364,1,83,2020,797.4,14.6,15.7,53,48,2,4,4,16,14.96824416,16.35097561
20041002,50,94,21.96385542,147,1,1,SVREC,3,1002,FALSE,2004,"BL14506, BLACK BEARD",I19703,1,93,2020,1638.1,13.9,19.2,47,60,2,5,3,16,31.00132945,20.16
20031003,49,93,22.11463415,91,1,1,SVREC,1,1003,FALSE,2003,"MEDALIST/N08003, ALPENA",N11283,1,84,2020,1733.6,12.9,17.1,46,57,2,5,2,16,33.18973692,18.16353659
20041003,51,95,21.89642857,120,1,1,SVREC,0,1003,FALSE,2004,B17536/B16504,B20626,1,94,2020,1295.8,16.09,19,54,43,2,5,3,16,23.89948009,19.44256098
20031004,52,96,21.7,1,1,1,SVREC,0,1004,FALSE,2003,N14218/N15306,N20301,1,85,2020,337.9,15.13,16.9,52,42,3,4,4,16,6.303462168,17.4915
20041004,49,93,22.11463415,52,1,1,SVREC,0,1004,FALSE,2004,B16504/B14302,B20556,1,95,2020,1648.3,13.66,18.6,52,55,1,5,4,16,31.28131918,19.58443902
20031005,51,95,21.89642857,34,1,1,SVREC,0,1005,FALSE,2003,N15306/N14218,N20338,1,86,2020,1166.1,15.78,16.3,53,46,3,4,2,16,21.5867762,16.74129268
20041005,48,92,22.24074074,145,1,1,SVREC,1,1005,FALSE,2004,"Zenith//Alpena*/B09197, ADAMS",B18504,1,96,2020,1808.2,13.56,18.4,47,54,1,5,2,16,34.35563498,19.39629268
20031006,51,95,21.89642857,67,1,2,SVREC,0,1006,FALSE,2003,N14229/N17506,N20382,1,87,2020,565.1,14.98,17.2,53,43,1,4,3,16,10.56046799,17.83346341
20041006,48,92,22.24074074,39,1,1,SVREC,0,1006,FALSE,2004,B16501/B15430,B20542,1,97,2020,1736.5,12.65,17.9,47,54,1,5,2,16,33.34068003,19.06786585
20031007,51,95,21.89642857,30,1,2,SVREC,0,1007,FALSE,2003,N14229/B16504,N20334,1,88,2020,831.1,12.75,17.5,54,50,3,4,2,16,15.93879462,18.62042683
20041007,51,95,21.89642857,55,1,1,SVREC,0,1007,FALSE,2004,B16504/B16501,B20559,1,98,2020,913.6,14.01,14.9,54,50,3,4,3,16,17.26795056,15.6250122
20031008,49,93,22.11463415,91,1,2,SVREC,1,1008,FALSE,2003,"MEDALIST/N08003, ALPENA",N11283,1,89,2020,1688.2,14.61,18.2,47,58,2,5,2,16,31.68601811,18.95241463
