Global_ID,MTR,ENTRY,Rep,block,Location,Check,Plot,End Plot,Expt,Pedigree,Name,Rng,Pas,Year,PLOTWT,MOIST,SDWT,FLWR,HT,LDG,DS,CBB,P_FT,CWT_A,ADJ_SDWT
20071002,96,2,1,1,SVREC,0,1002,FALSE,2007,R12859/R12844,R17604,1,55,2020,1720.4,15.48,30.7,43,60,1,6,1,15,34.09215094,31.64346341
20111002,97,10,1,1,SVREC,0,1002,FALSE,2011,S14706/R13752,S18904,1,61,2020,1650.6,13.13,36.6,44,48,1,5,2,15,33.61840792,38.77368293
20121002,96,13,1,1,SVREC,0,1002,FALSE,2012,"XRAV-40-4, SANKARA",I16708,1,71,2020,1239.3,13.36,21.3,43,45,1,5,2,15,25.17447217,22.50526829
20061002,94,14,1,1,SVREC,3,1002,FALSE,2006,"AN-37/P02630, ELDORADO",P07863,1,79,2020,1714.9,14.11,36.7,43,52,2,5,1,15,34.53399989,38.4410122
20031002,92,52,,1,SVREC,0,1002,FALSE,2003,N17504/N16405,N20364,1,83,2020,797.4,14.6,15.7,53,48,2,4,4,16,14.96824416,16.35097561
20041002,94,147,,1,SVREC,3,1002,FALSE,2004,"BL14506, BLACK BEARD",I19703,1,93,2020,1638.1,13.9,19.2,47,60,2,5,3,16,31.00132945,20.16
20091002,95,136,,1,SVREC,0,1002,FALSE,2009,S17702/R17604,S20410,1,156,2020,1067.6,19.22,36.2,53,25,3,4,1,16,18.95610784,35.66141463
20131003,96,21,1,1,SVREC,0,1003,FALSE,2013,B15414/B16504,B19346,1,5,2020,942.9,11.37,21.8,46,48,1,5,4,15,19.59349296,23.56260976
20021003,96,21,1,1,SVREC,0,1003,FALSE,2002,B15414/B16504,B19346,1,24,2020,1153.5,14.53,21.1,47,36,1,5,3,15,23.11515357,21.99289024
20011003,96,21,1,1,SVREC,0,1003,FALSE,2001,N15331/N16405,N19246,1,36,2020,1779,14.18,19,45,46,1,6,1,15,35.79562408,19.88512195
20051003,97,17,1,1,SVREC,0,1003,FALSE,2005,G13444/COSD-44,G19601,1,48,2020,1497.6,12.64,34.7,44,54,2,5,2,15,30.67424888,36.96819512
20071003,98,6,1,1,SVREC,0,1003,FALSE,2007,R12859/R12844,R18402,1,56,2020,1547.8,14.7,34.6,43,54,1,5,1,15,30.95489632,35.99243902
20111003,96,38,1,1,SVREC,0,1003,FALSE,2011,"G07321/Fuji, SAMURAI",G12901,1,62,2020,1245.8,15.37,27.6,43,47,1,5,5,15,24.71941266,28.48521951
20121003,96,19,1,1,SVREC,0,1003,FALSE,2012,R12859/R12844,R17604,1,72,2020,1745.4,12.58,30.8,42,50,1,5,1,15,35.77430901,32.83580488
20061003,92,1,1,1,SVREC,0,1003,FALSE,2006,P11519/P12610,P16902,1,80,2020,1720.5,14.39,32.5,43,57,1,5,3,15,34.53382264,33.93079268
20031003,93,91,,1,SVREC,1,1003,FALSE,2003,"MEDALIST/N08003, ALPENA",N11283,1,84,2020,1733.6,12.9,17.1,46,57,2,5,2,16,33.18973692,18.16353659
20041003,95,120,,1,SVREC,0,1003,FALSE,2004,B17536/B16504,B20626,1,94,2020,1295.8,16.09,19,54,43,2,5,3,16,23.89948009,19.44256098
20091003,97,102,,1,SVREC,0,1003,FALSE,2009,S16804/I13401,R20702,1,157,2020,1408.7,17.75,31.7,53,45,3,5,1,16,25.46778518,31.79664634
20131004,97,11,1,1,SVREC,0,1004,FALSE,2013,B14302/B10244,B17922,1,6,2020,1326.6,12.49,18.9,47,61,1,6,3,15,27.2184354,20.1699878
20021004,96,11,1,1,SVREC,0,1004,FALSE,2002,B14302/B10244,B17922,1,25,2020,1401.6,14.04,19,47,53,1,6,3,15,28.24788756,19.91756098
20011004,96,11,1,1,SVREC,0,1004,FALSE,2001,N14230/N12447,N17506,1,37,2020,1426.8,14.08,18.2,49,40,1,6,1,15,28.7423881,19.07004878
20051004,96,9,1,1,SVREC,0,1004,FALSE,2005,G12508/G13455,G16345,1,49,2020,1738.3,13.27,30.6,43,52,1,6,2,15,35.34756948,32.36509756
20071004,96,7,1,2,SVREC,0,1004,FALSE,2007,R12859/R12844,R17605,2,54,2020,1916.7,13.22,35.4,44,58,1,5,1,15,38.99772468,37.46356098
20111004,95,35,1,1,SVREC,0,1004,FALSE,2011,"ND121448, ND FALCON",I16705,1,63,2020,1254.5,13.39,35.8,45,58,1,6,1,15,25.47441294,37.81265854
